Reference,Publication year,Country (be specific),Latitude,Longitude,Ecosystem,Crops,DOI,Year,Country,State,Landscape,Topic,Sociality: Data Type,Nesting (location): Data Type,Nesting (ability): Data Type,Reproductive Strategy: Data Type,Body size: Data Type,Diet Breadth: Data Type,Voltinism: Data Type,Seasonality: Data Type,Tongue Length: Data Type,Other Functional Traits,Other Functional Traits: Data Type,Total Functional Traits Measured,Source of traits: literature?,Source of traits: own measurement/observations?,Source of traits: calculation from proxy?,Other traits: Data type,Number of bee species analyzed,Trait data available?
"Evans, E., Smart, M., Cariveau, D., & Spivak, M. (2018). Wild, native bees and managed honey bees benefit from similar agricultural land uses. Agriculture, Ecosystems & Environment, 268, 162–170. https://doi.org/10.1016/j.agee.2018.09.014",2018,"US, North Dakota",N 46.267725,O,agriculture-grasslandgradient,"Pastures and canola, alfalfa, sunflower;Soy, corn, & wheat",https://doi.org/10.1016/j.agee.2018.09.014,2018,USA,North Dakota,Agroecosystem; Natural,Land use and management,NA,categorical,NA,NA,NA,categorical,NA,numeric,numeric,NA,NA,4,yes,no,yes,NA,149,no
"Figueroa, L. L., Compton, S., Grab, H., & McArt, S. H. (2021). Functional traits linked to pathogen prevalence in wild bee communities. Scientific Reports, 11, 7529. https://doi.org/10.1038/s41598-021-87103-3",,,,,,,https://doi.org/10.1038/s41598-021-87103-3,2021,USA,New York,Agroecosystem,Other,categorical,categorical,NA,NA,numeric,NA,NA,numeric,NA,NA,NA,4,yes,yes,no,NA,57,yes
"Forrest, J. R. K., Thorp, R. W., Kremen, C., & Williams, N. M. (2015). Contrasting patterns in species and functional-trait diversity of bees in an agricultural landscape. Journal of Applied Ecology, 52(3), 706–715. https://doi.org/10.1111/1365-2664.12433",2015,USA,"N 38.888925
38.840768
38.864457
38.753972
38.405229
38.899389
38.801207
38.773267
38.468081
38.738245
38.507158
38.804238
38.826358
38.490851
38.829347
38.511539","W
–122.246875
–122.212634
–122.217105
–122.153172
–122.035951
–122.238933
–122.204054
–122.188109
–122.03829
–122.155892
–122.04194
–122.174958
–122.203455
–122.015012
–122.18074
–122.009941",agroecosystem,"landscape composed of a mosaic of semi-natural habitat, organic farms and conventionalfarms",https://doi.org/10.1111/1365-2664.12433,2015,USA,California,Agroecosystem,Agricultural intensification,categorical,categorical,categorical,NA,numeric,categorical,NA,numeric,NA,NA,NA,6,yes,yes,no,NA,140,yes (http://dx.doi.org/10.5061/dryad.dt7mh) and ESM 1 and 2
"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., Rollin, O., & Vaissière, B. E. (2014). Decreasing Abundance, Increasing Diversity and Changing Structure of the Wild Bee Community (Hymenoptera: Anthophila) along an Urbanization Gradient. PLoS ONE, 9(8), e104679. https://doi.org/10.1371/journal.pone.0104679",,,,,,,https://doi.org/10.1371/journal.pone.0104679.g002,2014,France,NA,Urban,Urbanization,categorical,categorical,NA,categorical,numeric,NA,NA,NA,categorical,NA,NA,5,yes,yes,yes,NA,291,yes
"Fortuin, C. C., & Gandhi, K. J. K. (2021). Functional traits and nesting habitats distinguish the structure of bee communities in clearcut and managed hardwood & pine forests in Southeastern USA. Forest Ecology and Management, 496, 119351. https://doi.org/10.1016/j.foreco.2021.119351",,,,,,,https://doi.org/10.1016/j.foreco.2021.119351,2021,USA,Georgia,Natural,Land use and management,categorical,categorical,NA,NA,categorical,categorical,NA,categorical,NA,NA,NA,5,unspecified,unspecified,no,NA,103,no
"Garibaldi, L. A., Bartomeus, I., Bommarco, R., Klein, A. M., Cunningham, S. A., Aizen, M. A., Boreux, V., Garratt, M. P. D., Carvalheiro, L. G., Kremen, C., Morales, C. L., Schüepp, C., Chacoff, N. P., Freitas, B. M., Gagic, V., Holzschuh, A., Klatt, B. K., Krewenka, K. M., Krishnan, S., … Woyciechowski, M. (2015). Trait matching of flower visitors and crops predicts fruit set better than trait diversity. Journal of Applied Ecology, 52(6), 1436–1444. https://doi.org/10.1111/1365-2664.12530",,,,,,,https://doi.org/10.1111/1365-2664.12530,2015,Meta-analysis: multiple contries,NA,Agroecosystem,Pollination,categorical,NA,NA,categorical,categorical,categorical,NA,categorical,categorical,"buzz pollination, centralplace foraging",categorical,8,yes,no,no,categorical,unspecified,no
"Geppert, C., Cappellari, A., Corcos, D., Caruso, V., Cerretti, P., Mei, M., & Marini, L. (2023). Temperature and not landscape composition shapes wild bee communities in an urban environment. Insect Conservation and Diversity, 16(1), 65–76. https://doi.org/10.1111/icad.12602",,,,,,,https://doi.org/10.1111/icad.12602,2023,Italy,NA,Urban,Urbanization,categorical,categorical,NA,NA,categorical,categorical,NA,NA,NA,NA,NA,4,yes,yes,no,NA,96,yes
"Giannini, T. C., Costa, W. F., Borges, R. C., Miranda, L., da Costa, C. P. W., Saraiva, A. M., & Imperatriz Fonseca, V. L. (2020). Climate change in the Eastern Amazon: Crop-pollinator and occurrence-restricted bees are potentially more affected. Regional Environmental Change, 20, 9. https://doi.org/10.1007/s10113-020-01611-y",2020,Brazil,poligono S -5.8697222; -6.5369444,W -49.89111111111111; -50.74138888888889,forest (Amazonian domain),.,https://doi.org/10.1007/s10113-020-01611-y,2020,Brazil,NA,Natural,Climate change,categorical,categorical,NA,NA,categorical,NA,NA,NA,NA,crop pollination,categorical,4,yes,yes,no,categorical,216,yes
"Graf, L. V., Schneiberg, I., & Gonçalves, R. B. (2022). Bee functional groups respond to vegetation cover and landscape diversity in a Brazilian metropolis. Landscape Ecology, 37(4), 1075–1089. https://doi.org/10.1007/s10980-022-01430-y",,,,,,,https://doi.org/10.1007/s10980-022-01430-y,2022,Brazil,Parana,Urban,Urbanization,categorical,categorical,NA,NA,NA,categorical,NA,NA,NA,NA,NA,3,yes,no,no,NA,288,yes
"Graham, K. K., Gibbs, J., Wilson, J., May, E., & Isaacs, R. (2021). Resampling of wild bees across fifteen years reveals variable species declines and recoveries after extreme weather. Agriculture, Ecosystems & Environment, 317, 107470. https://doi.org/10.1016/j.agee.2021.107470",,,,,,,https://doi.org/10.1016/j.agee.2021.107470,2021,USA,Michigan,Agroecosystem,Climate change,categorical,categorical,NA,NA,numeric,categorical,categorical,numeric,NA,NA,NA,6,unspecified,unspecified,no,NA,50,yes
